text,true_emotion,predicted_emotion
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,fear
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,anger
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,fear,joy
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,fear
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful,fear,anger
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ ,joy,joy
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,anger
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",joy,anger
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear
@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!,joy,joy
@GigaFag @pipertownsend_ snapchat new would beg to differ #optimism,joy,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,joy
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,anger
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,sadness
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,sadness
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
It feel like we lost a family member🙄😂,sadness,sadness
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
