text,true_emotion,0,1,5,correct_0,correct_1,correct_5,improved_with_more_examples,always_wrong,got_worse
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",joy,joy,joy,joy,True,True,True,False,False,False
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger,anger,anger,True,True,True,False,False,False
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,anger,anger,sadness,True,True,False,False,False,True
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,joy,joy,sadness,False,False,False,False,True,False
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",joy,joy,anger,anger,True,False,False,False,False,True
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness,sadness,sadness,True,True,True,False,False,False
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness,sadness,sadness,False,False,False,False,True,False
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,anger,anger,anger,False,False,False,False,True,False
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger,anger,anger,True,True,True,False,False,False
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness,sadness,sadness,True,True,True,False,False,False
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger,anger,anger,True,True,True,False,False,False
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger,anger,anger,False,False,False,False,True,False
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger,anger,anger,anger,True,True,True,False,False,False
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,joy,anger,anger,True,False,False,False,False,True
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,anger,anger,anger,True,True,True,False,False,False
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness,sadness,sadness,True,True,True,False,False,False
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,fear,joy,joy,joy,False,False,False,False,True,False
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger,anger,anger,True,True,True,False,False,False
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy,joy,joy,False,False,False,False,True,False
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy,joy,joy,False,False,False,False,True,False
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger,anger,anger,False,False,False,False,True,False
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear,fear,fear,True,True,True,False,False,False
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy,joy,joy,True,True,True,False,False,False
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness,sadness,sadness,True,True,True,False,False,False
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,anger,anger,anger,False,False,False,False,True,False
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy,joy,joy,True,True,True,False,False,False
"Honestly, there are some awful people on the internet... smh...",fear,anger,fear,sadness,False,True,False,True,False,True
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy,joy,joy,True,True,True,False,False,False
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy,joy,joy,True,True,True,False,False,False
If Angelina Jolie can't keep a man no one can. Today we mourn because Love is dead,sadness,sadness,sadness,sadness,True,True,True,False,False,False
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger,anger,anger,False,False,False,False,True,False
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,anger,fear,anger,False,True,False,True,False,True
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear,fear,fear,False,False,False,False,True,False
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear,fear,fear,False,False,False,False,True,False
It feel like we lost a family member🙄😂,sadness,joy,sadness,sadness,False,True,True,True,False,False
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger,anger,anger,True,True,True,False,False,False
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger,anger,anger,True,True,True,False,False,False
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger,anger,anger,True,True,True,False,False,False
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy,sadness,sadness,False,True,True,True,False,False
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger,anger,anger,False,False,False,False,True,False
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy,joy,joy,False,False,False,False,True,False
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger,anger,anger,anger,True,True,True,False,False,False
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear,fear,fear,False,False,False,False,True,False
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy,joy,joy,True,True,True,False,False,False
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy,sadness,sadness,False,True,True,True,False,False
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,anger,anger,anger,False,False,False,False,True,False
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy,joy,joy,False,False,False,False,True,False
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy,joy,joy,False,False,False,False,True,False
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful,fear,anger,anger,anger,False,False,False,False,True,False
The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest,fear,fear,fear,fear,True,True,True,False,False,False
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy,joy,joy,True,True,True,False,False,False
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear,fear,fear,True,True,True,False,False,False
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,anger,anger,fear,False,False,True,True,False,False
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy,joy,joy,True,True,True,False,False,False
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy,joy,joy,False,False,False,False,True,False
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear,fear,fear,True,True,True,False,False,False
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness,sadness,sadness,True,True,True,False,False,False
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,anger,anger,fear,True,True,False,False,False,True
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,anger,anger,fear,False,False,False,False,True,False
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy,joy,joy,False,False,False,False,True,False
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy,joy,joy,False,False,False,False,True,False
